Keywords,Date and Time,Source,Event ID,Task Category
Audit Success,4/2/2026 2:26:50 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\Administrator
	Account Name:		Administrator
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:26:33 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\karra
	Account Name:		karra
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:26:33 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\Guest
	Account Name:		Guest
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:26:33 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\DefaultAccount
	Account Name:		DefaultAccount
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:26:33 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\Administrator
	Account Name:		Administrator
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:26:33 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\karra
	Account Name:		karra
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:26:33 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\Guest
	Account Name:		Guest
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:26:33 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\DefaultAccount
	Account Name:		DefaultAccount
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:26:33 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\Administrator
	Account Name:		Administrator
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:26:29 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\karra
	Account Name:		karra
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:26:29 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\Guest
	Account Name:		Guest
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:26:29 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\DefaultAccount
	Account Name:		DefaultAccount
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:26:29 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\Administrator
	Account Name:		Administrator
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:26:29 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\karra
	Account Name:		karra
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:26:29 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\Guest
	Account Name:		Guest
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:26:29 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\DefaultAccount
	Account Name:		DefaultAccount
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:26:29 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\Administrator
	Account Name:		Administrator
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:51 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\karra
	Account Name:		karra
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:51 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\Guest
	Account Name:		Guest
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:51 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\DefaultAccount
	Account Name:		DefaultAccount
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:51 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\Administrator
	Account Name:		Administrator
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:51 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\karra
	Account Name:		karra
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:51 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\Guest
	Account Name:		Guest
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:51 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\DefaultAccount
	Account Name:		DefaultAccount
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:51 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\Administrator
	Account Name:		Administrator
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:45 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\karra
	Account Name:		karra
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:45 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\Guest
	Account Name:		Guest
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:45 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\DefaultAccount
	Account Name:		DefaultAccount
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:45 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\Administrator
	Account Name:		Administrator
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:45 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\karra
	Account Name:		karra
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:45 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\Guest
	Account Name:		Guest
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:45 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\DefaultAccount
	Account Name:		DefaultAccount
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:45 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\Administrator
	Account Name:		Administrator
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:33 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\karra
	Account Name:		karra
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:33 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\Guest
	Account Name:		Guest
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:33 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\DefaultAccount
	Account Name:		DefaultAccount
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:33 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\Administrator
	Account Name:		Administrator
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:33 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\karra
	Account Name:		karra
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:33 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\Guest
	Account Name:		Guest
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:33 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\DefaultAccount
	Account Name:		DefaultAccount
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:33 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\Administrator
	Account Name:		Administrator
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:21 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\karra
	Account Name:		karra
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,4/2/2026 2:25:21 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-N05220TR$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-N05220TR\Guest
	Account Name:		Guest
	Account Domain:		LAPTOP-N05220TR

Process Information:
	Process ID:		0x265c
	Process Name:		C:\Windows\System32\svchost.exe"
